label,key,description,condition,category,technique,track_type,organism,strain,first_author,pubmed_id
Connolly_WT_control_1_density,Connolly et al WT control (rep 1) density,"Read density, WT control",control,Gene expression,RNA-Seq,density plot,C. parapsilosis,CLIB214,Connolly,23895281
,,,,,,,,,,
Guida_WT_BMW_1_1_alignments,Guida et al WT on BMW (biol rep 1; tech rep 1) alignments,"Aligned non-strand-specific single-end reads, WT on BMW",BMW medium,Gene expression,RNA-Seq,aligned reads,C. parapsilosis,CLIB214,Guida,22192698
Guida_WT_BMW_1_1_coverage,Guida et al WT on BMW (biol rep 1; tech rep 1) coverage,"Read coverage, WT on BMW",BMW medium,Gene expression,RNA-Seq,coverage plot,C. parapsilosis,CLIB214,Guida,22192698
Guida_WT_BMW_1_1_density,Guida et al WT on BMW (biol rep 1; tech rep 1) density,"Read density, WT on BMW",BMW medium,Gene expression,RNA-Seq,aligned reads,C. parapsilosis,CLIB214,Guida,22192698
Guida_WT_YPD_1_1_alignments,Guida et al WT on YPD (biol rep 1; tech rep 1) alignments,"Aligned non-strand-specific single-end reads, WT control",control,Gene expression,RNA-Seq,coverage plot,C. parapsilosis,CLIB214,Guida,22192698
Guida_WT_YPD_1_1_coverage,Guida et al WT on YPD (biol rep 1; tech rep 1) coverage,"Read coverage, WT control",control,Gene expression,RNA-Seq,aligned reads,C. parapsilosis,CLIB214,Guida,22192698
Guida_WT_YPD_1_1_density,Guida et al WT on YPD (biol rep 1; tech rep 1) density,"Read density, WT control",control,Gene expression,RNA-Seq,coverage plot,C. parapsilosis,CLIB214,Guida,22192698
Guida_WT_BMW_1_2_alignments,Guida et al WT on BMW (biol rep 1; tech rep 2) alignments,"Aligned non-strand-specific single-end reads, WT on BMW",BMW medium,Gene expression,RNA-Seq,aligned reads,C. parapsilosis,CLIB214,Guida,22192698
Guida_WT_BMW_1_2_coverage,Guida et al WT on BMW (biol rep 1; tech rep 2) coverage,"Read coverage, WT on BMW",BMW medium,Gene expression,RNA-Seq,coverage plot,C. parapsilosis,CLIB214,Guida,22192698
Guida_WT_BMW_1_2_density,Guida et al WT on BMW (biol rep 1; tech rep 2) density,"Read density, WT on BMW",BMW medium,Gene expression,RNA-Seq,aligned reads,C. parapsilosis,CLIB214,Guida,22192698
Guida_WT_YPD_1_2_alignments,Guida et al WT on YPD (biol rep 1; tech rep 2) alignments,"Aligned non-strand-specific single-end reads, WT control",control,Gene expression,RNA-Seq,coverage plot,C. parapsilosis,CLIB214,Guida,22192698
Guida_WT_YPD_1_2_coverage,Guida et al WT on YPD (biol rep 1; tech rep 2) coverage,"Read coverage, WT control",control,Gene expression,RNA-Seq,aligned reads,C. parapsilosis,CLIB214,Guida,22192698
Guida_WT_YPD_1_2_density,Guida et al WT on YPD (biol rep 1; tech rep 2) density,"Read density, WT control",control,Gene expression,RNA-Seq,coverage plot,C. parapsilosis,CLIB214,Guida,22192698
Guida_WT_YPD_1_3_alignments,Guida et al WT on YPD (biol rep 1; tech rep 3) alignments,"Aligned non-strand-specific single-end reads, WT control",control,Gene expression,RNA-Seq,aligned reads,C. parapsilosis,CLIB214,Guida,22192698
Guida_WT_YPD_1_3_coverage,Guida et al WT on YPD (biol rep 1; tech rep 3) coverage,"Read coverage, WT control",control,Gene expression,RNA-Seq,coverage plot,C. parapsilosis,CLIB214,Guida,22192698
Guida_WT_YPD_1_3_density,Guida et al WT on YPD (biol rep 1; tech rep 3) density,"Read density, WT control",control,Gene expression,RNA-Seq,aligned reads,C. parapsilosis,CLIB214,Guida,22192698
Guida_WT_BMW_1_3_alignments,Guida et al WT on BMW (biol rep 1; tech rep 3) alignments,"Aligned non-strand-specific single-end reads, WT on BMW",BMW medium,Gene expression,RNA-Seq,coverage plot,C. parapsilosis,CLIB214,Guida,22192698
Guida_WT_BMW_1_3_coverage,Guida et al WT on BMW (biol rep 1; tech rep 3) coverage,"Read coverage, WT on BMW",BMW medium,Gene expression,RNA-Seq,aligned reads,C. parapsilosis,CLIB214,Guida,22192698
