label,key,description,condition,category,technique,track_type,organism,strain,first_author,pubmed_id
linde_ph8_3_density,Linde & Duggan pH 8 (rep 3) Density,"Read density, pH 8",pH 8,Gene Expression,RNA-Seq,Density plot,C. glabrata,CBS138,Linde & Duggan,25586221
,,,,,,,,,,
Bhakt_set4_casp_rep2_alignments,Bhakt et al DGE for set4 caspofungin (rep 2) alignments,"Aligned non-strand-specific paired-end reads, BG2_set4 caspofungin",caspofungin,Gene Expression,RNA-Seq,Aligned reads,C. glabrata,BG2,Bhakt et al.,36108742
,,,,,,,,,,
Bhakt_set4_casp_rep2_coverage,Bhakt et al DGE for set4 caspofungin (rep 2) coverage,"Read coverage, BG2_set4 caspofungin",caspofungin,Gene Expression,RNA-Seq,Coverage plot,C. glabrata,BG2,Bhakt et al.,36108742
,,,,,,,,,,
Bhakt_set4_casp_rep2_density,Bhakt et al DGE for set4 caspofungin (rep 2) density,"Read density, BG2_set4 caspofungin",caspofungin,Gene Expression,RNA-Seq,Density plot,C. glabrata,BG2,Bhakt et al.,36108742
,,,,,,,,,,
Bhakt_set4_casp_rep1_alignments,Bhakt et al DGE for set4 caspofungin (rep 1) alignments,"Aligned non-strand-specific paired-end reads, BG2_set4 caspofungin",caspofungin,Gene Expression,RNA-Seq,Aligned reads,C. glabrata,BG2,Bhakt et al.,36108742
,,,,,,,,,,
Bhakt_set4_casp_rep1_coverage,Bhakt et al DGE for set4 caspofungin (rep 1) coverage,"Read coverage, BG2_set4 caspofungin",caspofungin,Gene Expression,RNA-Seq,Coverage plot,C. glabrata,BG2,Bhakt et al.,36108742
,,,,,,,,,,
Bhakt_set4_casp_rep1_density,Bhakt et al DGE for set4 caspofungin (rep 1) density,"Read density, BG2_set4 caspofungin",caspofungin,Gene Expression,RNA-Seq,Density plot,C. glabrata,BG2,Bhakt et al.,36108742
,,,,,,,,,,
Bhakt_set4_control_rep2_alignments,Bhakt et al set4 control (rep 2) alignments,"Aligned non-strand-specific paired-end reads, BG2_set4 control",untreated,Gene Expression,RNA-Seq,Aligned reads,C. glabrata,BG2,Bhakt et al.,36108742
,,,,,,,,,,
Bhakt_set4_control_rep2_coverage,Bhakt et al set4 control  (rep 2) coverage,"Read coverage, BG2_set4 control",untreated,Gene Expression,RNA-Seq,Coverage plot,C. glabrata,BG2,Bhakt et al.,36108742
,,,,,,,,,,
Bhakt_set4_control_rep2_density,Bhakt et al set4 control  (rep 2) density,"Read density, BG2_set4 control",untreated,Gene Expression,RNA-Seq,Density plot,C. glabrata,BG2,Bhakt et al.,36108742
,,,,,,,,,,
Bhakt_WT_casp_rep2_alignments,Bhakt et al WT caspofungin (rep 2) alignments,"Aligned non-strand-specific paired-end reads, BG2 caspofungin",caspofungin,Gene Expression,RNA-Seq,Aligned reads,C. glabrata,BG2,Bhakt et al.,36108742
,,,,,,,,,,
Bhakt_WT_casp_rep2_coverage,Bhakt et al WT caspofungin  (rep 2) coverage,"Read coverage, BG2 caspofungin",caspofungin,Gene Expression,RNA-Seq,Coverage plot,C. glabrata,BG2,Bhakt et al.,36108742
